typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","440","LTU","Lithuania","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","74","false","5","u","74","false","20.71","false","0","false","25120",,"25120","0","true","false",
"C","A","20250101","2025","52","2025","442","LUX","Luxembourg","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1977","false","5","u","1977","false","4412.058","false","0","false","838048.798","823301.418","838048.798","0","false","true",
"C","A","20250101","2025","52","2025","446","MAC","China, Macao SAR","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","295.562","true","-1","N/A","0","false","207.339","true","0","false","97008.187",,"97008.187","6","false","true",
"C","A","20250101","2025","52","2025","458","MYS","Malaysia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10842","false","5","u","10842","false","1433.807","true","0","false","1447115.795",,"1447115.795","4","false","true",
"C","A","20250101","2025","52","2025","480","MUS","Mauritius","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","105","false","5","u","105","false","73","false","0","false","81203.69","79619.229","81203.69","0","false","true",
"C","A","20250101","2025","52","2025","484","MEX","Mexico","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2571","false","5","u","2571","false","0","true","0","false",,"1162427","1162427","4","false","true",
"C","A","20250101","2025","52","2025","498","MDA","Rep. of Moldova","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","224","false","5","u","224","false","78.227","true","0","false","87409",,"87409","4","false","true",
"C","A","20250101","2025","52","2025","528","NLD","Netherlands","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","276409","false","5","u","276409","false","61333","false","0","false","88079273.26",,"88079273.26","0","true","false",
"C","A","20250101","2025","52","2025","554","NZL","New Zealand","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1956.071","true","-1","N/A","0","false","636.11","true","902","false","642014.81","628669.911","642014.81","6","true","false",
"C","A","20250101","2025","52","2025","579","NOR","Norway","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4182.681","true","8","kg","2171","false","2171","false","0","false","1372824.773",,"1372824.773","2","false","true",
