"State Imports by HS Commodities"
"Current date: 05/22/2026 8:52 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Air SWT (kg)","Vessel SWT (kg)",
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","October 2025","","5,839,710"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","November 2025","","4,289,029"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","December 2025","","4,601,483"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","2026 through March","","11,950,099"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","January 2026","","4,052,290"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","February 2026","","3,559,054"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","China","March 2026","","4,338,755"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","January 2025","","2,969,061"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","February 2025","","4,044,718"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","March 2025","","3,826,113"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","April 2025","","3,613,580"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","May 2025","","3,906,750"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","June 2025","3,128","3,767,554"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","July 2025","","3,097,051"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","August 2025","1,184","2,138,289"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","September 2025","","1,931,065"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","October 2025","274","2,572,368"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","November 2025","2,916","1,665,533"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","December 2025","551","1,814,827"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","2026 through March","","6,177,009"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","January 2026","","1,891,852"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","February 2026","","1,936,055"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Korea, South","March 2026","","2,349,102"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","January 2025","","79,222"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","February 2025","","119,730"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","March 2025","","44,729"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","April 2025","","35,325"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","May 2025","","24,098"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","June 2025","","66,073"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","July 2025","","114,737"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","August 2025","","67,322"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","September 2025","","92,580"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","October 2025","","29,660"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","November 2025","","80,235"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","December 2025","","36,801"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","2026 through March","","23,527"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","January 2026","","3,572"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","February 2026","","3,786"
"845020 Washing Machines With Dry Linen Capacity Ov 10 Kg","Mexico","March 2026","","16,169"
