,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
799318,845020,5520,13,03,2024,12,170302,0,0,170302,58914,170302,58914,1019096,0,0,1019096,336898,1019096,336898,1303,20589.05445521992,8490884879.223784
799319,845020,5520,14,01,2024,12,300121,0,0,300121,94899,300121,94899,1880401,0,0,1880401,554435,1880401,554435,1401,20353.93379194727,13520975740.454027
799320,845020,5520,16,01,2024,12,89914,0,0,89914,26406,89914,26406,1385810,0,0,1385810,441938,1385810,441938,1601,20856.23784850532,3855108716.39342
799321,845020,5520,17,03,2024,12,680789,0,0,680789,226255,680789,226255,12852937,0,0,12852937,3385999,12852937,3385999,1703,20949.03024427143,33178759865.42343
799322,845020,5520,18,01,2024,12,1153878,0,0,1153878,321095,1153878,321095,12437133,0,0,12437133,3321847,12437133,3321847,1801,21276.406622826886,47822234491.896194
799323,845020,5520,18,03,2024,12,154252,0,0,154252,38085,154252,38085,6264080,0,0,6264080,1527652,6264080,1527652,1803,21171.556766823203,5644231176.251232
799324,845020,5520,19,01,2024,12,28737,0,0,28737,8730,28737,8730,511791,0,0,511791,163414,511791,163414,1901,21494.9028728793,1313553514.561654
799325,845020,5520,27,04,2024,12,7323827,0,0,7323827,1745917,7323827,1745917,102922522,0,0,102922522,23936534,101953170,23765118,2704,13525.16778851572,165296742588.75403
799326,845020,5520,27,09,2024,12,3857113,0,0,3857113,919019,3857113,919019,22068609,0,0,22068609,5769738,22068609,5769738,2709,13525.16778851572,87009203230.83751
799327,845020,5520,28,11,2024,12,374498,0,0,374498,101137,374498,101137,3310062,0,0,3310062,891130,3310062,891130,2811,12896.948702420039,9130510906.416588
799328,845020,5520,29,04,2024,12,44435,0,0,44435,15140,44435,15140,880037,0,0,880037,262270,880037,262270,2904,12471.036582506531,1321680457.0140421
799329,845020,5520,30,01,2024,12,342425,0,0,342425,72397,342425,72397,3075941,0,0,3075941,797156,3075941,797156,3001,12376.560758683558,6272181084.724895
799330,845020,5520,30,02,2024,12,632150,0,0,632150,151202,632150,151202,9956708,0,0,9956708,2485191,9956708,2485191,3002,12411.976275046727,13137009457.177307
799331,845020,5520,49,09,2024,12,292333,0,0,292333,58088,292333,58088,1201719,0,0,1201719,255164,1201719,255164,4909,20389.989128037603,8290895819.286139
799332,845020,5520,53,01,2024,12,738777,0,0,738777,190912,738777,190912,6333045,0,0,6333045,1558307,6333045,1558307,5301,21740.992499011183,29054314519.79856
799335,845020,5700,04,01,2024,12,2850,0,0,2850,359,2850,359,2850,0,0,2850,359,2850,359,0401,22786.719112209877,32721728.645133384
