,commodity,cty_code,state,year,month,gen_val_mo,con_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,con_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,distance,gen_swt_mo,co2
945069,852872,2010,NJ,2024,12,25482643,25482643,0,0,0,0,0,0,400420038,400420038,11810,139,0,0,0,0,3752.1214722537475,1451159.5152541269,435594142148.02795
945070,852872,2010,NM,2024,12,0,0,0,0,0,0,0,0,3301,3301,0,0,0,0,0,0,1437.7393942208892,0.0,0.0
945071,852872,2010,NV,2024,12,0,0,0,0,0,0,0,0,562087,562087,0,0,0,0,0,0,2727.3254956820124,0.0,0.0
945072,852872,2010,NY,2024,12,294518,294518,0,0,0,0,0,0,7611188,7611188,0,0,0,0,0,0,3786.3681901126456,16771.91012382879,5080370158.423487
945073,852872,2010,OH,2024,12,1159717,1159717,0,0,0,0,0,0,28958354,28958354,0,0,0,0,0,0,2996.722411584126,66042.3787105588,15832854111.700632
945074,852872,2010,OK,2024,12,64402,64402,0,0,0,0,0,0,4315440,4315440,0,0,0,0,0,0,1471.4293258247562,3667.4992896692966,431717280.58086926
945075,852872,2010,OR,2024,12,0,0,0,0,0,0,0,0,348239,348239,0,0,0,0,0,0,3537.689510936759,0.0,0.0
945076,852872,2010,PA,2024,12,1386135,1386135,0,0,0,0,0,0,19610526,19610526,0,0,0,0,0,0,3512.434521496396,78936.19961935577,22180658603.10047
945077,852872,2010,PR,2024,12,236772,236772,0,0,236772,13554,236772,13554,8295046,8295046,0,0,8295046,433601,8295046,433601,4633.757745291259,13483.449921020756,4998323240.382139
945078,852872,2010,SD,2024,12,0,0,0,0,0,0,0,0,5423,5423,0,0,0,0,0,0,2722.218128859175,0.0,0.0
945079,852872,2010,TN,2024,12,67872,67872,0,0,0,0,0,0,3216158,3216158,0,0,0,0,0,0,2219.5650339456356,3865.105304003517,686308206.8227218
945080,852872,2010,TX,2024,12,59976904,59976904,0,0,0,0,0,0,1130195152,1130195152,3689,97,5920,230,5920,230,852.8322792632797,3415503.444249613,233028126975.27838
945081,852872,2010,UT,2024,12,145434,145434,0,0,0,0,0,0,4976555,4976555,0,0,0,0,0,0,2366.930378300682,8282.0268267098,1568238471.20325
945082,852872,2010,VA,2024,12,0,0,0,0,0,0,0,0,3172018,3172018,0,0,0,0,0,0,3150.808201829077,0.0,0.0
945084,852872,2010,WA,2024,12,1159295,1159295,0,0,0,0,0,0,18666731,18666731,0,0,7400,200,7400,200,3962.209195720608,66018.3470857608,20926280152.7581
945085,852872,2010,WI,2024,12,54137,54137,0,0,0,0,0,0,1950026,1950026,2798,3,0,0,0,0,2965.575833992575,3082.938558504809,731415046.9428612
