,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
978085,852852,5520,54,01,2025,12,0,0,0,0,0,0,0,2808,2808,85,0,0,0,0,5401,21816.27159492347,0.0
978086,852852,5520,55,01,2025,12,0,0,0,0,0,0,0,308060,308060,3288,0,0,0,0,5501,21748.61425526619,0.0
978134,852852,5700,01,06,2025,12,0,0,0,0,0,0,0,58664,0,0,0,0,0,0,0106,20236.83722779758,0.0
978135,852852,5700,02,09,2025,12,0,0,0,0,0,0,0,2864,0,0,0,0,0,0,0209,22211.870508763586,0.0
978136,852852,5700,02,12,2025,12,0,0,0,0,0,0,0,21225,0,0,0,0,0,0,0212,22211.870508763586,0.0
978137,852852,5700,04,01,2025,12,141435,0,0,141435,13022,141435,13022,2667240,0,0,2667240,246123,2667240,246123,0401,22786.719112209877,1186914625.1167881
978138,852852,5700,04,08,2025,12,0,0,0,0,0,0,0,4321,4321,59,0,0,0,0,0408,22729.34464531671,0.0
978139,852852,5700,04,17,2025,12,121879,121879,3279,0,0,0,0,862719,862719,16008,0,0,0,0,0417,22729.34464531671,0.0
978140,852852,5700,07,01,2025,12,0,0,0,0,0,0,0,54964,0,0,0,0,0,0,0701,19710.165752657576,0.0
978141,852852,5700,07,08,2025,12,0,0,0,0,0,0,0,2152303,0,0,0,0,0,0,0708,19710.165752657576,0.0
978142,852852,5700,07,12,2025,12,0,0,0,0,0,0,0,177854,0,0,0,0,0,0,0712,19710.165752657576,0.0
978143,852852,5700,09,01,2025,12,1057352,0,0,0,0,0,0,10219635,0,0,0,0,0,0,0901,20018.982638531088,0.0
978144,852852,5700,10,01,2025,12,9426,0,0,9426,141,9426,141,615339,0,0,615339,45809,555604,44436,1001,19776.513077949607,11153953.375963578
978145,852852,5700,10,02,2025,12,0,0,0,0,0,0,0,7220,7220,59,0,0,0,0,1002,19776.513077949607,0.0
978146,852852,5700,10,03,2025,12,5411293,262541,2958,5148752,909992,5059539,908018,149339446,2231434,29740,147104292,10387409,145495514,10301257,1003,19777.210656566334,71988413919.16045
978147,852852,5700,10,12,2025,12,3336267,3336267,67622,0,0,0,0,36784708,36784708,725845,0,0,0,0,1012,19771.475786102517,0.0
978148,852852,5700,11,01,2025,12,43078,43078,97,0,0,0,0,346512,224383,980,122129,6706,122129,6706,1101,19710.165752657576,0.0
978149,852852,5700,11,02,2025,12,8668,0,0,8668,122,8668,122,44534,0,0,44534,700,44534,700,1102,19710.165752657576,9618560.887296896
978150,852852,5700,11,08,2025,12,0,0,0,0,0,0,0,86885,86885,763,0,0,0,0,1108,19710.165752657576,0.0
978151,852852,5700,11,09,2025,12,0,0,0,0,0,0,0,7337,0,0,0,0,0,0,1109,19710.165752657576,0.0
978152,852852,5700,13,03,2025,12,547233,0,0,547233,72629,547233,72629,4325963,0,0,4325963,395750,4325963,395750,1303,19663.71566713922,5712624020.754618
978153,852852,5700,14,01,2025,12,6468808,0,0,6468808,361073,6468808,361073,69410968,0,0,69410968,4465186,69282143,4454476,1401,19428.595003866565,28060564335.324448
978154,852852,5700,15,01,2025,12,0,0,0,0,0,0,0,37231550,0,0,37231550,2764337,37231550,2764337,1501,19085.631985613796,0.0
978155,852852,5700,15,03,2025,12,0,0,0,0,0,0,0,20240,20240,357,0,0,0,0,1503,19085.631985613796,0.0
978156,852852,5700,15,12,2025,12,38820,38820,675,0,0,0,0,161392,161392,1833,0,0,0,0,1512,19085.631985613796,0.0
978157,852852,5700,16,01,2025,12,399059,0,0,399059,14842,399059,14842,10219110,0,0,10219110,584995,9639916,583254,1601,19013.219662419055,1128776824.9184945
978158,852852,5700,16,03,2025,12,9388,9388,21,0,0,0,0,980945,980945,4126,0,0,0,0,1603,19013.219662419055,0.0
978159,852852,5700,17,03,2025,12,4826333,0,0,4826333,810635,4826333,810635,117906752,0,0,117906752,8968689,117451400,8947478,1703,19022.34637113229,61680719002.2513
978160,852852,5700,17,04,2025,12,1654815,1654815,20830,0,0,0,0,20632496,20632496,291777,0,0,0,0,1704,19022.34637113229,0.0
978161,852852,5700,17,91,2025,12,8204,8204,193,0,0,0,0,309528,309528,6093,0,0,0,0,1791,19022.34637113229,0.0
978162,852852,5700,18,01,2025,12,56958,0,0,56958,37054,56958,37054,5001417,7396,78,4994021,219457,4994021,219457,1801,18426.199929383,2731057648.733431
978163,852852,5700,18,03,2025,12,0,0,0,0,0,0,0,68793,0,0,68793,2607,68793,2607,1803,18893.35511925648,0.0
978164,852852,5700,18,08,2025,12,20241,20241,321,0,0,0,0,99297,99297,2302,0,0,0,0,1808,18642.34439180155,0.0
978165,852852,5700,18,16,2025,12,0,0,0,0,0,0,0,16535,0,0,16535,119,0,0,1816,18642.34439180155,0.0
978166,852852,5700,19,01,2025,12,479781,0,0,479781,30081,479781,30081,8119946,0,0,8119946,617115,8119946,617115,1901,18644.696179435414,2243404423.0943866
978167,852852,5700,19,10,2025,12,0,0,0,0,0,0,0,5014,5014,55,0,0,0,0,1910,18644.696179435414,0.0
978168,852852,5700,20,02,2025,12,321552,321552,1484,0,0,0,0,3379449,3379449,308156,0,0,0,0,2002,18653.835136477017,0.0
978169,852852,5700,20,06,2025,12,0,0,0,0,0,0,0,919635,181507,772,0,0,0,0,2006,18653.631136646567,0.0
978170,852852,5700,23,01,2025,12,0,0,0,0,0,0,0,75681,0,0,0,0,0,0,2301,18966.064901479585,0.0
978171,852852,5700,23,04,2025,12,18480,0,0,0,0,0,0,359662,0,0,0,0,0,0,2304,18876.709138770486,0.0
978172,852852,5700,23,05,2025,12,40114,0,0,0,0,0,0,3970758,0,0,0,0,0,0,2305,18904.702597383482,0.0
978173,852852,5700,24,01,2025,12,0,0,0,0,0,0,0,98515,0,0,0,0,0,0,2401,12861.771283225322,0.0
978174,852852,5700,24,08,2025,12,5288,0,0,0,0,0,0,51082,0,0,0,0,0,0,2408,12861.771283225322,0.0
978175,852852,5700,25,01,2025,12,0,0,0,0,0,0,0,127286,127286,2683,0,0,0,0,2501,12861.771283225322,0.0
978176,852852,5700,25,06,2025,12,0,0,0,0,0,0,0,464798,0,0,0,0,0,0,2506,13061.611195176409,0.0
978177,852852,5700,25,07,2025,12,6621,0,0,0,0,0,0,160229,0,0,0,0,0,0,2507,13061.611195176409,0.0
978178,852852,5700,26,04,2025,12,24647,0,0,0,0,0,0,462987,0,0,0,0,0,0,2604,10799.297077288793,0.0
978179,852852,5700,26,05,2025,12,11878,11878,64,0,0,0,0,34618,34618,145,0,0,0,0,2605,10799.297077288793,0.0
978180,852852,5700,26,08,2025,12,23570,0,0,0,0,0,0,23570,0,0,0,0,0,0,2608,10799.297077288793,0.0
978181,852852,5700,27,04,2025,12,45006968,0,0,45006968,5355117,44801820,5345715,1468317459,0,0,1468151478,100479705,1459520501,100168017,2704,10674.961095071822,228662662538.2309
978182,852852,5700,27,07,2025,12,0,0,0,0,0,0,0,40232,0,0,40232,2945,40232,2945,2707,10674.961095071822,0.0
978183,852852,5700,27,09,2025,12,17485472,0,0,17485472,1052425,17252679,1049112,389493230,0,0,389493230,18620693,387138013,18511116,2709,10674.961095071822,44938383721.92384
978184,852852,5700,27,20,2025,12,4054712,4054712,69290,0,0,0,0,82183733,82183733,1507965,0,0,0,0,2720,10799.297077288793,0.0
978185,852852,5700,27,21,2025,12,0,0,0,0,0,0,0,583524,583524,10112,0,0,0,0,2721,10674.961095071822,0.0
978186,852852,5700,27,22,2025,12,3120,3120,152,0,0,0,0,707092,707092,14460,0,0,0,0,2722,10674.961095071822,0.0
978187,852852,5700,28,01,2025,12,782466,782466,41586,0,0,0,0,11732047,11727047,237874,0,0,0,0,2801,10028.77593686844,0.0
978188,852852,5700,28,09,2025,12,53496,0,0,53496,8989,53496,8989,1347502,0,0,1347502,184694,1347502,184694,2809,10028.77593686844,360594667.5860416
978189,852852,5700,28,11,2025,12,1337364,0,0,1337364,190766,1321710,190451,18265529,4894,54,18260635,1058516,17278527,999786,2811,10046.74200897614,7666307144.337369
978190,852852,5700,28,35,2025,12,0,0,0,0,0,0,0,2687,2687,7,0,0,0,0,2835,10067.066824432433,0.0
978191,852852,5700,29,04,2025,12,2479299,0,0,2472837,126007,2472837,126007,8215256,0,0,8204144,389400,8204144,389400,2904,9620.829889062636,4849167647.324462
978192,852852,5700,29,10,2025,12,0,0,0,0,0,0,0,276046,276046,6670,0,0,0,0,2910,9620.829889062636,0.0
978193,852852,5700,30,01,2025,12,1247814,0,0,1247814,90386,1247814,90386,13521735,0,0,13407223,1060720,13400563,1059770,3001,9526.354065239659,3444196154.1630073
978194,852852,5700,30,02,2025,12,458909,0,0,458909,61324,458909,61324,19145910,0,0,19145910,1438301,19095406,1436919,3002,9561.769581602828,2345463831.2888474
978195,852852,5700,30,04,2025,12,361986,0,0,0,0,0,0,4967670,0,0,0,0,0,0,3004,9411.309858073151,0.0
978196,852852,5700,30,09,2025,12,0,0,0,0,0,0,0,6150,0,0,0,0,0,0,3009,9517.725296814857,0.0
978197,852852,5700,30,20,2025,12,0,0,0,0,0,0,0,4900,4900,546,0,0,0,0,3020,9517.725296814857,0.0
978198,852852,5700,30,29,2025,12,494154,467194,9599,0,0,0,0,6629215,5884615,129938,0,0,0,0,3029,9561.769581602828,0.0
978199,852852,5700,31,26,2025,12,2182085,2182085,7370,0,0,0,0,11211007,11211007,61895,0,0,0,0,3126,7874.489457920036,0.0
978200,852852,5700,32,01,2025,12,0,0,0,0,0,0,0,72352,0,0,72352,8576,22500,7176,3201,8121.922500283982,0.0
978201,852852,5700,32,05,2025,12,19505,19505,473,0,0,0,0,685361,685361,10295,0,0,0,0,3205,8465.865541544441,0.0
978202,852852,5700,32,79,2025,12,0,0,0,0,0,0,0,48408,48408,534,0,0,0,0,3279,8121.922500283982,0.0
978203,852852,5700,33,03,2025,12,0,0,0,0,0,0,0,3117,3117,33,0,0,0,0,3303,3204.2486492597295,0.0
978204,852852,5700,33,07,2025,12,27653,27653,512,0,0,0,0,80544,80544,1618,0,0,0,0,3307,6004.374782991324,0.0
978205,852852,5700,33,10,2025,12,0,0,0,0,0,0,0,201059,0,0,0,0,0,0,3310,3170.9707522911885,0.0
978206,852852,5700,34,01,2025,12,0,0,0,0,0,0,0,12685,0,0,0,0,0,0,3401,24260.13495072433,0.0
978207,852852,5700,34,03,2025,12,0,0,0,0,0,0,0,33920,0,0,0,0,0,0,3403,24260.13495072433,0.0
978208,852852,5700,35,01,2025,12,3000,0,0,0,0,0,0,756553,176890,3015,0,0,0,0,3501,24380.013492499736,0.0
978209,852852,5700,36,04,2025,12,0,0,0,0,0,0,0,3341180,0,0,3341180,275536,3341180,275536,3604,10541.191735416765,0.0
978210,852852,5700,38,01,2025,12,60879,0,0,0,0,0,0,1623956,0,0,0,0,0,0,3801,24380.013492499736,0.0
978211,852852,5700,38,02,2025,12,723852,0,0,0,0,0,0,5286482,0,0,0,0,0,0,3802,24274.914900709464,0.0
978212,852852,5700,38,03,2025,12,0,0,0,0,0,0,0,58045,0,0,0,0,0,0,3803,23952.830565668424,0.0
978213,852852,5700,38,07,2025,12,182799,182799,2387,0,0,0,0,648667,473816,7944,0,0,0,0,3807,24274.914900709464,0.0
978215,852852,5700,39,09,2025,12,0,0,0,0,0,0,0,9885,9885,378,0,0,0,0,3909,23207.00234327462,0.0
978217,852852,5700,41,02,2025,12,380009,380009,2899,0,0,0,0,7856130,7787630,99987,0,0,0,0,4102,23187.632568251815,0.0
